file,bead_number,start_index,end_index,is_test,Logistic Regression_Prediction,Logistic Regression_Correct,Random Forest_Prediction,Random Forest_Correct,SVM_Prediction,SVM_Correct,XGBoost_Prediction,XGBoost_Correct,KNN_Prediction,KNN_Correct,Neural Network_Prediction,Neural Network_Correct,HistGradientBoosting_Prediction,HistGradientBoosting_Correct
112544_BM4A2NE1T220810Y0196.csv,5,43814,47140,True,2.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,3.0,False
112544_BM4A2NE1T220810Y0196.csv,6,47295,50621,True,1.0,True,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112544_BM4A2NE1T220810Y0196.csv,7,62905,64379,False,,,,,,,,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,8,64526,66000,False,,,,,,,,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,9,66149,67623,True,1.0,True,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112544_BM4A2NE1T220810Y0196.csv,10,67784,69258,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112544_BM4A2NE1T220810Y0196.csv,11,81547,83021,False,,,,,,,,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,12,83178,84652,False,,,,,,,,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,13,84814,86288,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
112544_BM4A2NE1T220810Y0196.csv,14,86436,87910,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112544_BM4A2NE1T220810Y0196.csv,15,88054,89528,False,,,,,,,,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,16,89673,91147,False,,,,,,,,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,17,101288,102763,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
112544_BM4A2NE1T220810Y0196.csv,18,102915,104389,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
112544_BM4A2NE1T220810Y0196.csv,19,104539,106013,False,,,,,,,,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,20,106173,107647,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112544_BM4A2NE1T220810Y0196.csv,21,107826,109301,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
112544_BM4A2NE1T220810Y0196.csv,22,109451,110925,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
112544_BM4A2NE1T220810Y0196.csv,23,124135,125610,False,,,,,,,,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,24,125756,127231,True,0.0,False,1.0,True,0.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112544_BM4A2NE1T220810Y0196.csv,25,127376,128850,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,3.0,False
112544_BM4A2NE1T220810Y0196.csv,26,128997,130471,False,,,,,,,,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,27,130614,132088,False,,,,,,,,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,28,132232,133706,False,,,,,,,,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,29,133888,135362,True,0.0,False,1.0,True,0.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112544_BM4A2NE1T220810Y0196.csv,30,135513,136987,False,,,,,,,,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,31,137149,138623,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112544_BM4A2NE1T220810Y0196.csv,32,150374,153701,False,,,,,,,,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,33,153843,157169,False,,,,,,,,,,,,,,
112544_BM4A2NE1T220810Y0196.csv,34,167965,171291,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
112544_BM4A2NE1T220810Y0196.csv,35,171450,174776,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
113024_BM4A1NE1T220810Y0201.csv,1,8160,12153,True,1.0,True,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
113024_BM4A1NE1T220810Y0201.csv,2,12349,16341,True,1.0,True,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
113024_BM4A1NE1T220810Y0201.csv,3,16489,20481,True,3.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
113024_BM4A1NE1T220810Y0201.csv,4,40566,43892,False,,,,,,,,,,,,,,
113024_BM4A1NE1T220810Y0201.csv,5,44075,47401,True,0.0,False,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
113024_BM4A1NE1T220810Y0201.csv,6,47555,50882,False,,,,,,,,,,,,,,
113024_BM4A1NE1T220810Y0201.csv,7,63207,64681,False,,,,,,,,,,,,,,
113024_BM4A1NE1T220810Y0201.csv,8,64828,66302,True,1.0,True,1.0,True,3.0,False,1.0,True,1.0,True,1.0,True,1.0,True
113024_BM4A1NE1T220810Y0201.csv,9,66450,67924,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True,1.0,True
